event_date,feature,event_name,user_count,platform
2025-01-01,API,click,181,Web
2025-01-01,Billing,error,136,Mobile
2025-01-01,Dashboard,click,373,Web
2025-01-01,Export,click,198,Mobile
2025-01-01,Mobile App,feature_used,210,Web
2025-01-01,Notifications,session_start,138,Mobile
2025-01-01,Onboarding,feature_used,234,Mobile
2025-01-01,Reporting,feature_used,129,Web
2025-01-01,Search,feature_used,163,Web
2025-01-01,Security & Compliance,feature_used,84,Web
2025-01-02,API,feature_used,186,Web
2025-01-02,Billing,session_start,140,Mobile
2025-01-02,Dashboard,session_start,372,Web
2025-01-02,Export,feature_used,248,Web
2025-01-02,Mobile App,session_start,228,Mobile
2025-01-02,Notifications,click,149,Web
2025-01-02,Onboarding,feature_used,277,Web
2025-01-02,Reporting,session_start,154,Web
2025-01-02,Search,feature_used,151,Web
2025-01-02,Security & Compliance,session_start,84,Web
2025-01-03,API,feature_used,219,Mobile
2025-01-03,Billing,feature_used,151,Web
2025-01-03,Dashboard,feature_used,413,Web
2025-01-03,Export,feature_used,253,Web
2025-01-03,Mobile App,feature_used,216,Web
2025-01-03,Notifications,feature_used,160,Mobile
2025-01-03,Onboarding,feature_used,261,Web
2025-01-03,Reporting,feature_used,162,Web
2025-01-03,Search,feature_used,198,Web
2025-01-03,Security & Compliance,feature_used,70,Web
2025-01-04,API,feature_used,122,Web
2025-01-04,Billing,click,86,Mobile
2025-01-04,Dashboard,feature_used,238,Web
2025-01-04,Export,session_start,154,Web
2025-01-04,Mobile App,export_click,140,Web
2025-01-04,Notifications,session_start,98,Mobile
2025-01-04,Onboarding,click,209,Web
2025-01-04,Reporting,feature_used,110,Mobile
2025-01-04,Search,session_start,108,Web
2025-01-04,Security & Compliance,feature_used,44,Web
2025-01-05,API,session_start,124,Web
2025-01-05,Billing,feature_used,110,Mobile
2025-01-05,Dashboard,feature_used,246,Mobile
2025-01-05,Export,feature_used,143,Mobile
2025-01-05,Mobile App,click,147,Web
2025-01-05,Notifications,click,99,Mobile
2025-01-05,Onboarding,click,202,Mobile
2025-01-05,Reporting,feature_used,90,Web
2025-01-05,Search,feature_used,122,Web
2025-01-05,Security & Compliance,session_start,46,Mobile
2025-01-06,API,feature_used,227,Web
2025-01-06,Billing,feature_used,181,Mobile
2025-01-06,Dashboard,feature_used,453,Mobile
2025-01-06,Export,feature_used,280,Web
2025-01-06,Mobile App,feature_used,242,Web
2025-01-06,Notifications,session_start,192,Web
2025-01-06,Onboarding,feature_used,347,Web
2025-01-06,Reporting,feature_used,177,Web
2025-01-06,Search,session_start,204,Mobile
2025-01-06,Security & Compliance,feature_used,105,Web
2025-01-07,API,session_start,195,Web
2025-01-07,Billing,click,155,Mobile
2025-01-07,Dashboard,feature_used,476,Web
2025-01-07,Export,feature_used,257,Web
2025-01-07,Mobile App,feature_used,237,Web
2025-01-07,Notifications,feature_used,196,Web
2025-01-07,Onboarding,feature_used,355,Web
2025-01-07,Reporting,click,208,Mobile
2025-01-07,Search,click,217,Web
2025-01-07,Security & Compliance,feature_used,73,Web
2025-01-08,API,feature_used,228,Web
2025-01-08,Billing,feature_used,187,Web
2025-01-08,Dashboard,click,484,Web
2025-01-08,Export,click,285,Web
2025-01-08,Mobile App,feature_used,265,Web
2025-01-08,Notifications,session_start,203,Web
2025-01-08,Onboarding,feature_used,325,Web
2025-01-08,Reporting,feature_used,167,Mobile
2025-01-08,Search,feature_used,230,Web
2025-01-08,Security & Compliance,click,111,Web
2025-01-09,API,export_click,238,Web
2025-01-09,Billing,session_start,150,Web
2025-01-09,Dashboard,click,495,Mobile
2025-01-09,Export,session_start,325,Web
2025-01-09,Mobile App,click,270,Mobile
2025-01-09,Notifications,feature_used,213,Web
2025-01-09,Onboarding,session_start,344,Web
2025-01-09,Reporting,session_start,187,Mobile
