feedback_id,project_id,user_id,feedback_type,feedback_text,priority,sentiment,channel,created_at
FDBK00000001,PROJ000177,USR000664,Feature Request,Integrate with Slack notifications.,Medium,Negative,Survey,2026-01-10
FDBK00000002,PROJ000176,USR000124,Question,How do I archive projects?,Medium,Negative,Survey,2026-02-19
FDBK00000003,PROJ000166,USR000583,Praise,Excellent dashboard experience.,Critical,Negative,Survey,2026-04-23
FDBK00000004,PROJ000195,USR000426,Improvement,Improve application performance.,Critical,Negative,Support Ticket,2025-08-06
FDBK00000005,PROJ000140,USR000584,Bug Report,Login page becomes unresponsive after timeout.,Critical,Neutral,Mobile,2024-08-23
FDBK00000006,PROJ000160,USR000605,Complaint,Support response is too slow.,Medium,Positive,Mobile,2026-01-26
FDBK00000007,PROJ000147,USR000149,Improvement,Reduce loading times.,Low,Neutral,Survey,2024-10-14
FDBK00000008,PROJ000088,USR000034,Feature Request,Enable custom dashboard widgets.,Medium,Negative,Support Ticket,2026-03-18
FDBK00000009,PROJ000160,USR000504,Feature Request,Support multilingual interface.,Critical,Neutral,Web,2025-09-27
FDBK00000010,PROJ000003,USR000114,Question,How do I archive projects?,Medium,Negative,Mobile,2026-02-17
FDBK00000011,PROJ000156,USR000163,Feature Request,Provide export to PDF option.,High,Positive,Web,2026-01-12
FDBK00000012,PROJ000245,USR000220,Improvement,Simplify navigation menus.,Medium,Negative,Web,2025-01-24
FDBK00000013,PROJ000135,USR000605,Praise,Great collaboration features.,Critical,Negative,Survey,2026-07-03
FDBK00000014,PROJ000185,USR000293,Praise,AI suggestions are extremely useful.,Medium,Negative,Survey,2025-06-23
FDBK00000015,PROJ000102,USR000707,Feature Request,Enable custom dashboard widgets.,High,Positive,Support Ticket,2026-06-24
FDBK00000016,PROJ000236,USR000721,Feature Request,Integrate with Slack notifications.,Low,Positive,Support Ticket,2024-12-24
FDBK00000017,PROJ000075,USR000414,Complaint,Reports are difficult to understand.,Critical,Negative,Survey,2025-08-02
FDBK00000018,PROJ000028,USR000034,Feature Request,Integrate with Slack notifications.,Critical,Neutral,Support Ticket,2025-03-13
FDBK00000019,PROJ000078,USR000636,Improvement,Reduce loading times.,Medium,Positive,Mobile,2024-11-20
FDBK00000020,PROJ000079,USR000126,Question,Is API access available?,Critical,Negative,Mobile,2025-01-07
FDBK00000021,PROJ000224,USR000177,Bug Report,Search results are inaccurate.,High,Negative,Support Ticket,2025-07-17
FDBK00000022,PROJ000087,USR000215,Feature Request,Enable custom dashboard widgets.,Low,Neutral,Email,2025-07-21
FDBK00000023,PROJ000184,USR000122,Improvement,Enhance dashboard usability.,Low,Positive,Email,2024-08-25
FDBK00000024,PROJ000224,USR000075,Question,Can I restore deleted tickets?,Medium,Neutral,Support Ticket,2026-06-15
FDBK00000025,PROJ000024,USR000755,Question,Is API access available?,Critical,Negative,Mobile,2025-06-28
FDBK00000026,PROJ000186,USR000600,Praise,Excellent dashboard experience.,Critical,Neutral,Email,2024-11-30
FDBK00000027,PROJ000171,USR000004,Improvement,Optimize search experience.,Critical,Positive,Support Ticket,2025-05-29
FDBK00000028,PROJ000010,USR000664,Improvement,Reduce loading times.,Medium,Neutral,Mobile,2024-09-16
FDBK00000029,PROJ000227,USR000660,Improvement,Reduce loading times.,Medium,Negative,Mobile,2024-08-09
FDBK00000030,PROJ000240,USR000796,Improvement,Simplify navigation menus.,Critical,Neutral,Support Ticket,2024-08-22
FDBK00000031,PROJ000189,USR000530,Question,Is API access available?,Low,Neutral,Email,2026-03-04
FDBK00000032,PROJ000026,USR000567,Question,Can I restore deleted tickets?,High,Neutral,Web,2024-09-07
FDBK00000033,PROJ000041,USR000187,Improvement,Enhance dashboard usability.,Low,Positive,Email,2026-05-22
FDBK00000034,PROJ000237,USR000739,Feature Request,Add dark mode support.,High,Neutral,Email,2025-12-20
FDBK00000035,PROJ000144,USR000056,Improvement,Reduce loading times.,High,Neutral,Mobile,2025-09-18
FDBK00000036,PROJ000068,USR000500,Feature Request,Support multilingual interface.,Low,Neutral,Web,2026-04-16
FDBK00000037,PROJ000105,USR000304,Feature Request,Provide export to PDF option.,Critical,Neutral,Support Ticket,2024-10-07
FDBK00000038,PROJ000130,USR000317,Praise,Excellent dashboard experience.,Low,Neutral,Mobile,2026-05-29
FDBK00000039,PROJ000140,USR000322,Complaint,Workflow is confusing.,Low,Negative,Survey,2026-06-02
FDBK00000040,PROJ000242,USR000612,Question,How do permissions work?,Medium,Negative,Mobile,2025-02-14
FDBK00000041,PROJ000176,USR000739,Bug Report,Application crashes while generating reports.,Low,Negative,Web,2025-11-12
FDBK00000042,PROJ000248,USR000102,Bug Report,Application crashes while generating reports.,Low,Negative,Survey,2025-03-31
FDBK00000043,PROJ000198,USR000107,Improvement,Simplify navigation menus.,High,Positive,Mobile,2025-12-25
FDBK00000044,PROJ000226,USR000054,Feature Request,Integrate with Slack notifications.,High,Neutral,Support Ticket,2024-08-27
FDBK00000045,PROJ000134,USR000301,Bug Report,Application crashes while generating reports.,High,Neutral,Survey,2025-01-15
FDBK00000046,PROJ000238,USR000789,Praise,Fast and reliable platform.,Low,Positive,Support Ticket,2025-03-26
FDBK00000047,PROJ000075,USR000268,Complaint,Application freezes frequently.,Low,Positive,Support Ticket,2024-12-28
FDBK00000048,PROJ000160,USR000789,Complaint,Workflow is confusing.,High,Negative,Mobile,2025-01-07
FDBK00000049,PROJ000084,USR000365,Bug Report,Login page becomes unresponsive after timeout.,High,Positive,Web,2025-03-06
FDBK00000050,PROJ000082,USR000452,Praise,AI suggestions are extremely useful.,High,Neutral,Web,2025-04-30
FDBK00000051,PROJ000190,USR000332,Improvement,Enhance dashboard usability.,Medium,Negative,Survey,2024-09-07
FDBK00000052,PROJ000121,USR000636,Complaint,Support response is too slow.,Low,Neutral,Support Ticket,2024-12-11
FDBK00000053,PROJ000104,USR000495,Bug Report,Login page becomes unresponsive after timeout.,Medium,Negative,Mobile,2025-11-28
FDBK00000054,PROJ000073,USR000285,Complaint,Workflow is confusing.,Critical,Negative,Support Ticket,2026-03-22
FDBK00000055,PROJ000025,USR000346,Bug Report,Search results are inaccurate.,Critical,Positive,Email,2025-03-28
FDBK00000056,PROJ000230,USR000564,Complaint,Support response is too slow.,High,Negative,Web,2025-10-29
FDBK00000057,PROJ000023,USR000193,Complaint,Reports are difficult to understand.,Low,Positive,Mobile,2025-06-17
FDBK00000058,PROJ000063,USR000274,Praise,AI suggestions are extremely useful.,Medium,Positive,Email,2026-06-15
FDBK00000059,PROJ000154,USR000611,Question,Can I restore deleted tickets?,Critical,Neutral,Email,2026-04-04
FDBK00000060,PROJ000243,USR000723,Bug Report,Search results are inaccurate.,Critical,Neutral,Mobile,2025-10-20
FDBK00000061,PROJ000091,USR000226,Question,How do I archive projects?,High,Neutral,Survey,2025-09-03
FDBK00000062,PROJ000141,USR000150,Complaint,Application freezes frequently.,High,Negative,Support Ticket,2025-01-11
FDBK00000063,PROJ000205,USR000734,Question,How do I archive projects?,Medium,Positive,Survey,2026-03-31
FDBK00000064,PROJ000120,USR000754,Improvement,Optimize search experience.,Critical,Neutral,Survey,2025-03-14
FDBK00000065,PROJ000123,USR000489,Feature Request,Integrate with Slack notifications.,High,Positive,Support Ticket,2025-06-04
FDBK00000066,PROJ000117,USR000473,Praise,Fast and reliable platform.,Medium,Negative,Support Ticket,2024-07-26
FDBK00000067,PROJ000155,USR000686,Complaint,Too many unnecessary notifications.,High,Negative,Survey,2026-03-01
FDBK00000068,PROJ000068,USR000303,Bug Report,Application crashes while generating reports.,High,Negative,Survey,2024-07-26
FDBK00000069,PROJ000187,USR000482,Question,Where can I export analytics?,Low,Negative,Web,2024-09-15
FDBK00000070,PROJ000223,USR000033,Improvement,Simplify navigation menus.,Low,Negative,Support Ticket,2026-04-25
FDBK00000071,PROJ000211,USR000651,Question,Where can I export analytics?,Critical,Negative,Mobile,2024-08-15
FDBK00000072,PROJ000188,USR000554,Bug Report,Application crashes while generating reports.,High,Positive,Support Ticket,2025-04-10
FDBK00000073,PROJ000005,USR000178,Question,Where can I export analytics?,Low,Negative,Email,2025-03-01
FDBK00000074,PROJ000174,USR000645,Complaint,Support response is too slow.,Low,Positive,Email,2026-06-09
FDBK00000075,PROJ000058,USR000648,Improvement,Simplify navigation menus.,Critical,Positive,Survey,2026-01-13
FDBK00000076,PROJ000148,USR000359,Improvement,Improve application performance.,Low,Negative,Survey,2025-07-25
FDBK00000077,PROJ000045,USR000283,Praise,Very intuitive interface.,High,Negative,Email,2025-10-27
FDBK00000078,PROJ000085,USR000641,Question,Can I restore deleted tickets?,Low,Neutral,Support Ticket,2025-06-19
FDBK00000079,PROJ000190,USR000195,Bug Report,Login page becomes unresponsive after timeout.,Medium,Positive,Mobile,2025-01-01
FDBK00000080,PROJ000087,USR000116,Question,How do I archive projects?,Low,Neutral,Mobile,2025-08-02
FDBK00000081,PROJ000211,USR000688,Complaint,Too many unnecessary notifications.,Critical,Neutral,Email,2026-03-16
FDBK00000082,PROJ000033,USR000195,Complaint,Support response is too slow.,High,Negative,Web,2024-07-22
FDBK00000083,PROJ000009,USR000728,Complaint,Workflow is confusing.,Critical,Neutral,Email,2025-02-22
FDBK00000084,PROJ000091,USR000790,Question,How do I archive projects?,Medium,Positive,Email,2024-11-09
FDBK00000085,PROJ000013,USR000556,Improvement,Simplify navigation menus.,High,Negative,Mobile,2025-12-07
FDBK00000086,PROJ000214,USR000571,Praise,Very intuitive interface.,High,Neutral,Web,2026-03-01
FDBK00000087,PROJ000209,USR000025,Praise,Excellent dashboard experience.,High,Positive,Support Ticket,2025-11-26
FDBK00000088,PROJ000178,USR000741,Question,How do I archive projects?,Critical,Positive,Support Ticket,2025-09-25
FDBK00000089,PROJ000210,USR000270,Praise,Great collaboration features.,Medium,Neutral,Survey,2025-04-26
FDBK00000090,PROJ000156,USR000533,Question,How do I archive projects?,Critical,Positive,Email,2026-06-11
FDBK00000091,PROJ000097,USR000416,Praise,Fast and reliable platform.,Low,Negative,Web,2024-10-05
FDBK00000092,PROJ000041,USR000582,Improvement,Improve application performance.,Low,Positive,Mobile,2025-06-15
FDBK00000093,PROJ000179,USR000007,Bug Report,Dashboard takes too long to load.,Critical,Neutral,Survey,2025-01-30
FDBK00000094,PROJ000183,USR000039,Praise,Very intuitive interface.,Critical,Negative,Survey,2025-02-08
FDBK00000095,PROJ000240,USR000471,Question,Is API access available?,High,Neutral,Email,2025-10-05
FDBK00000096,PROJ000157,USR000375,Improvement,Optimize search experience.,Critical,Negative,Email,2024-12-26
FDBK00000097,PROJ000035,USR000117,Complaint,Support response is too slow.,Critical,Neutral,Email,2026-02-07
FDBK00000098,PROJ000073,USR000136,Praise,AI suggestions are extremely useful.,High,Neutral,Mobile,2024-08-31
FDBK00000099,PROJ000127,USR000200,Complaint,Support response is too slow.,Critical,Neutral,Web,2025-04-04
FDBK00000100,PROJ000183,USR000610,Feature Request,Provide export to PDF option.,High,Positive,Web,2024-08-28
FDBK00000101,PROJ000239,USR000765,Feature Request,Integrate with Slack notifications.,High,Negative,Email,2024-11-16
FDBK00000102,PROJ000005,USR000089,Question,How do I archive projects?,High,Neutral,Support Ticket,2025-07-13
FDBK00000103,PROJ000149,USR000296,Feature Request,Enable custom dashboard widgets.,High,Neutral,Survey,2026-01-24
FDBK00000104,PROJ000173,USR000711,Praise,Fast and reliable platform.,Low,Neutral,Email,2026-05-20
FDBK00000105,PROJ000193,USR000431,Improvement,Reduce loading times.,Critical,Negative,Support Ticket,2025-05-11
FDBK00000106,PROJ000142,USR000009,Praise,Fast and reliable platform.,Medium,Positive,Email,2026-07-03
FDBK00000107,PROJ000141,USR000024,Complaint,Too many unnecessary notifications.,High,Positive,Web,2026-01-19
FDBK00000108,PROJ000105,USR000734,Question,Is API access available?,Medium,Positive,Survey,2025-08-07
FDBK00000109,PROJ000133,USR000443,Bug Report,Dashboard takes too long to load.,High,Positive,Web,2025-08-24
FDBK00000110,PROJ000199,USR000159,Question,Can I restore deleted tickets?,Medium,Negative,Survey,2024-10-04
FDBK00000111,PROJ000172,USR000683,Praise,Fast and reliable platform.,Low,Positive,Web,2025-12-31
FDBK00000112,PROJ000233,USR000041,Feature Request,Enable custom dashboard widgets.,Medium,Negative,Survey,2024-10-25
FDBK00000113,PROJ000155,USR000005,Improvement,Simplify navigation menus.,High,Positive,Support Ticket,2024-12-04
FDBK00000114,PROJ000166,USR000609,Complaint,Application freezes frequently.,High,Neutral,Email,2026-05-01
FDBK00000115,PROJ000217,USR000292,Feature Request,Enable custom dashboard widgets.,Low,Negative,Survey,2024-12-02
FDBK00000116,PROJ000084,USR000747,Improvement,Optimize search experience.,Critical,Positive,Survey,2025-08-05
FDBK00000117,PROJ000084,USR000763,Question,Where can I export analytics?,Low,Negative,Survey,2025-01-04
FDBK00000118,PROJ000238,USR000028,Bug Report,Application crashes while generating reports.,Medium,Positive,Mobile,2025-11-01
FDBK00000119,PROJ000177,USR000185,Complaint,Workflow is confusing.,Low,Positive,Mobile,2025-01-12
FDBK00000120,PROJ000104,USR000424,Bug Report,Notification emails are duplicated.,High,Neutral,Mobile,2024-08-11
FDBK00000121,PROJ000082,USR000383,Bug Report,Search results are inaccurate.,Critical,Positive,Mobile,2025-01-18
FDBK00000122,PROJ000163,USR000143,Bug Report,Application crashes while generating reports.,Critical,Negative,Email,2025-07-19
FDBK00000123,PROJ000197,USR000724,Complaint,Reports are difficult to understand.,Low,Positive,Support Ticket,2025-06-27
FDBK00000124,PROJ000056,USR000603,Complaint,Support response is too slow.,High,Negative,Survey,2025-01-12
FDBK00000125,PROJ000215,USR000345,Improvement,Improve application performance.,Medium,Negative,Support Ticket,2025-10-15
FDBK00000126,PROJ000007,USR000487,Improvement,Optimize search experience.,Critical,Negative,Survey,2025-05-14
FDBK00000127,PROJ000197,USR000386,Question,Is API access available?,High,Negative,Support Ticket,2025-04-07
